Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Pair
2023-11-18 00:15:00,36526.20,36529,36448,36465,1972.618,2023-11-18 00:29:59.999,71972489.64451,17827,907.259,33101720.02650,0,BTCUSDT
2023-11-18 00:30:00,36464.90,36503,36408.30,36412.10,1776.677,2023-11-18 00:44:59.999,64754539.95534,18140,843.666,30753036.84630,0,BTCUSDT
2023-11-18 00:45:00,36412.10,36427,36391.30,36403.30,1394.021,2023-11-18 00:59:59.999,50760404.81734,13566,743.375,27068569.50660,0,BTCUSDT
2023-11-18 01:00:00,36403.40,36450,36380,36395,1498.009,2023-11-18 01:14:59.999,54558496.28330,14900,724.294,26382394.86460,0,BTCUSDT
2023-11-18 01:15:00,36394.90,36438.90,36394.90,36436.60,663.966,2023-11-18 01:29:59.999,24182746.68040,11699,390.652,14227722.73040,0,BTCUSDT
2023-11-18 01:30:00,36436.50,36464.80,36426.90,36460,547.370,2023-11-18 01:44:59.999,19952549.15810,10854,306.942,11188509.31770,0,BTCUSDT
2023-11-18 01:45:00,36460.10,36465,36405,36414,636.460,2023-11-18 01:59:59.999,23188148.41130,11600,256.923,9360680.52980,0,BTCUSDT
2023-11-18 02:00:00,36414,36441.40,36403.90,36439.40,535.047,2023-11-18 02:14:59.999,19487496.54030,8946,273.996,9980437.12400,0,BTCUSDT
2023-11-18 02:15:00,36439.30,36457.90,36427.60,36433.90,543.592,2023-11-18 02:29:59.999,19811088.18930,9692,257.362,9379912.54390,0,BTCUSDT
2023-11-18 02:30:00,36433.90,36452.20,36411,36424,485.067,2023-11-18 02:44:59.999,17668331.81290,9853,218.264,7950158.37560,0,BTCUSDT
2023-11-18 02:45:00,36424,36434.90,36412,36415.90,562.366,2023-11-18 02:59:59.999,20482220.02900,7851,303.174,11042821.93230,0,BTCUSDT
2023-11-18 03:00:00,36416,36433.10,36390,36428.40,642.184,2023-11-18 03:14:59.999,23382701.68180,10953,286.980,10449963.35860,0,BTCUSDT
2023-11-18 03:15:00,36428.50,36434.90,36366.20,36377,825.293,2023-11-18 03:29:59.999,30034192.94630,12544,274.906,10004294.43350,0,BTCUSDT
2023-11-18 03:30:00,36377,36398,36364.10,36368,691.943,2023-11-18 03:44:59.999,25171618.71620,12588,283.067,10297668.51670,0,BTCUSDT
2023-11-18 03:45:00,36368,36392.30,36366.60,36384.90,610.421,2023-11-18 03:59:59.999,22206617.11970,10124,361.301,13143772.32940,0,BTCUSDT
2023-11-18 04:00:00,36385,36416.40,36382.90,36404.10,626.177,2023-11-18 04:14:59.999,22792519.20400,8190,392.440,14284432.36890,0,BTCUSDT
2023-11-18 04:15:00,36404,36436,36402.10,36426.30,595.998,2023-11-18 04:29:59.999,21708612.70200,8385,326.661,11897521.09810,0,BTCUSDT
2023-11-18 04:30:00,36426.20,36430,36377.10,36403.20,570.043,2023-11-18 04:44:59.999,20748323.37060,10156,218.241,7942939.05060,0,BTCUSDT
2023-11-18 04:45:00,36403.20,36420,36380,36381.90,443.349,2023-11-18 04:59:59.999,16138926.92510,8401,188.883,6876009.00670,0,BTCUSDT
2023-11-18 05:00:00,36381.90,36388.80,36312.60,36312.60,1424.492,2023-11-18 05:14:59.999,51780725.62309,18713,447.433,16266132.34340,0,BTCUSDT
2023-11-18 05:15:00,36312.50,36358,36312.50,36333.90,986.164,2023-11-18 05:29:59.999,35834957.36110,15081,501.294,18215602.92050,0,BTCUSDT
2023-11-18 05:30:00,36334,36380.20,36333.90,36374.10,596.069,2023-11-18 05:44:59.999,21675390.83570,10859,335.825,12212058.77010,0,BTCUSDT
2023-11-18 05:45:00,36374.10,36377.80,36333.30,36341.20,819.634,2023-11-18 05:59:59.999,29795600.55210,12664,303.422,11029425.36450,0,BTCUSDT
2023-11-18 06:00:00,36341.10,36375.70,36333.30,36364.50,736.347,2023-11-18 06:14:59.999,26768293.71060,12941,406.839,14790227.67260,0,BTCUSDT
2023-11-18 06:15:00,36364.50,36374.60,36352.60,36352.70,372.102,2023-11-18 06:29:59.999,13531915.01160,8431,190.508,6928210.57850,0,BTCUSDT
2023-11-18 06:30:00,36352.60,36358,36321.30,36333,680.285,2023-11-18 06:44:59.999,24720636.16110,11656,258.506,9393569.26270,0,BTCUSDT
2023-11-18 06:45:00,36333.10,36333.60,36257,36267.20,2344.773,2023-11-18 06:59:59.999,85081247.44310,28860,935.802,33954274.37090,0,BTCUSDT
2023-11-18 07:00:00,36267.30,36310,36196,36290.40,3285.826,2023-11-18 07:14:59.999,119119844.51306,41941,1649.682,59808252.35300,0,BTCUSDT
2023-11-18 07:15:00,36290.40,36342.30,36290.30,36337,1251.478,2023-11-18 07:29:59.999,45455686.07330,17208,758.976,27567994.04390,0,BTCUSDT
2023-11-18 07:30:00,36337,36371.10,36336.90,36351.90,994.507,2023-11-18 07:44:59.999,36154919.59805,16036,614.243,22330555.64265,0,BTCUSDT
2023-11-18 07:45:00,36351.90,36443.30,36343.50,36429,3123.402,2023-11-18 07:59:59.999,113704593.74210,24395,1675.603,60994115.92550,0,BTCUSDT
2023-11-18 08:00:00,36429,36477,36405.30,36416,1594.429,2023-11-18 08:14:59.999,58098126.67021,18685,859.974,31339143.82051,0,BTCUSDT
2023-11-18 08:15:00,36416.10,36432.10,36389.30,36420.10,713.484,2023-11-18 08:29:59.999,25979291.04680,11942,303.440,11049481.24170,0,BTCUSDT
2023-11-18 08:30:00,36420.10,36495.50,36420,36490,1399.231,2023-11-18 08:44:59.999,51022423.85310,18265,872.120,31798497.78380,0,BTCUSDT
2023-11-18 08:45:00,36490,36491,36442.30,36457.20,882.166,2023-11-18 08:59:59.999,32165624.18300,14598,423.241,15432026.77400,0,BTCUSDT
2023-11-18 09:00:00,36457.20,36463.50,36431.20,36432.90,792.874,2023-11-18 09:14:59.999,28897535.04230,12269,290.527,10588603.55830,0,BTCUSDT
2023-11-18 09:15:00,36432.80,36458.40,36430,36438.60,463.219,2023-11-18 09:29:59.999,16879214.03360,8780,197.717,7204824.65150,0,BTCUSDT
2023-11-18 09:30:00,36438.60,36443.60,36419.80,36443.60,634.406,2023-11-18 09:44:59.999,23111884.20250,10339,309.478,11274773.54860,0,BTCUSDT
2023-11-18 09:45:00,36443.60,36443.60,36400,36410,563.867,2023-11-18 09:59:59.999,20531690.84690,8689,244.751,8911787.70550,0,BTCUSDT
2023-11-18 10:00:00,36410,36447.90,36406.20,36443.50,783.817,2023-11-18 10:14:59.999,28556863.45270,9946,506.931,18468702.11640,0,BTCUSDT
2023-11-18 10:15:00,36443.40,36454.60,36425.80,36442.40,576.935,2023-11-18 10:29:59.999,21024871.60950,8498,345.640,12596758.72920,0,BTCUSDT
2023-11-18 10:30:00,36442.40,36448,36420,36440,566.358,2023-11-18 10:44:59.999,20634784.91220,10962,243.054,8855565.26350,0,BTCUSDT
2023-11-18 10:45:00,36440,36494.60,36426.70,36479,872.237,2023-11-18 10:59:59.999,31809614.65270,13045,569.694,20776188.70260,0,BTCUSDT
2023-11-18 11:00:00,36479.10,36539.30,36450,36533.90,2360.038,2023-11-18 11:14:59.999,86141153.83620,20053,1450.134,52930355.46720,0,BTCUSDT
2023-11-18 11:15:00,36533.90,36550,36476.10,36480,1456.661,2023-11-18 11:29:59.999,53194406.61910,16004,585.121,21368670.79690,0,BTCUSDT
